aggregate_id,event_type,processed_at
order-0000cb03,EventType.ORDER_CREATED,2025-09-20 06:58:54.894741
order-0000cd2b,EventType.ORDER_CREATED,2025-09-20 06:58:18.168763
order-000e39e7,EventType.ORDER_CREATED,2025-09-20 06:58:23.854549
order-00146edb,EventType.ORDER_CREATED,2025-09-20 06:58:24.554894
order-001b5d01,EventType.ORDER_CREATED,2025-09-20 06:54:44.368267
order-0025abb5,EventType.ORDER_CREATED,2025-09-20 06:58:15.315056
order-002ae4d7,EventType.ORDER_CREATED,2025-09-20 06:58:19.477624
order-002b14d8,EventType.ORDER_CREATED,2025-09-20 06:57:02.450448
order-003305aa,EventType.ORDER_CREATED,2025-09-20 06:56:31.401321
order-003494aa,EventType.ORDER_CREATED,2025-09-20 06:57:08.219922
order-00353bb0,EventType.ORDER_CREATED,2025-09-20 06:58:34.361639
order-0036cf54,EventType.ORDER_CREATED,2025-09-20 06:57:00.799933
order-00396e8c,EventType.ORDER_CREATED,2025-09-20 06:56:47.133556
order-003b07d9,EventType.ORDER_CREATED,2025-09-20 06:58:49.280516
order-003f92a0,EventType.ORDER_CREATED,2025-09-20 06:57:03.258017
order-00421f47,EventType.ORDER_CREATED,2025-09-20 06:56:00.314950
order-0043a594,EventType.ORDER_CREATED,2025-09-20 06:56:11.501976
order-004991c7,EventType.ORDER_CREATED,2025-09-20 06:57:38.324585
order-004b6c45,EventType.ORDER_CREATED,2025-09-20 06:56:04.660664
order-00538620,EventType.ORDER_CREATED,2025-09-20 06:56:30.201128
order-005b4703,EventType.ORDER_CREATED,2025-09-20 06:58:56.455350
order-005b987d,EventType.ORDER_CREATED,2025-09-20 06:55:39.831372
order-005ce3a8,EventType.ORDER_CREATED,2025-09-20 06:54:46.202238
order-00681b3b,EventType.ORDER_CREATED,2025-09-20 06:57:02.550530
order-006c825d,EventType.ORDER_CREATED,2025-09-20 06:54:12.866669
order-00745aa8,EventType.ORDER_CREATED,2025-09-20 06:57:56.166019
order-007e1ba4,EventType.ORDER_CREATED,2025-09-20 06:58:39.721096
