saga_id,order_id,step_number,step_name,command_type,status,started_at,completed_at,duration_ms
order-0000cb03,order-0000cb03,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:54.894741,2025-09-20 06:58:54.894741,0.0
order-0000cd2b,order-0000cd2b,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:18.168763,2025-09-20 06:58:18.168763,0.0
order-000e39e7,order-000e39e7,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:23.854549,2025-09-20 06:58:23.854549,0.0
order-00146edb,order-00146edb,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:24.554894,2025-09-20 06:58:24.554894,0.0
order-001b5d01,order-001b5d01,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:54:44.368267,2025-09-20 06:54:44.368267,0.0
order-0025abb5,order-0025abb5,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:15.315056,2025-09-20 06:58:15.315056,0.0
order-002ae4d7,order-002ae4d7,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:19.477624,2025-09-20 06:58:19.477624,0.0
order-002b14d8,order-002b14d8,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:02.450448,2025-09-20 06:57:02.450448,0.0
order-003305aa,order-003305aa,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:31.401321,2025-09-20 06:56:31.401321,0.0
order-003494aa,order-003494aa,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:08.219922,2025-09-20 06:57:08.219922,0.0
order-00353bb0,order-00353bb0,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:34.361639,2025-09-20 06:58:34.361639,0.0
order-0036cf54,order-0036cf54,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:00.799933,2025-09-20 06:57:00.799933,0.0
order-00396e8c,order-00396e8c,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:47.133556,2025-09-20 06:56:47.133556,0.0
order-003b07d9,order-003b07d9,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:49.280516,2025-09-20 06:58:49.280516,0.0
order-003f92a0,order-003f92a0,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:03.258017,2025-09-20 06:57:03.258017,0.0
order-00421f47,order-00421f47,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:00.314950,2025-09-20 06:56:00.314950,0.0
order-0043a594,order-0043a594,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:11.501976,2025-09-20 06:56:11.501976,0.0
order-004991c7,order-004991c7,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:38.324585,2025-09-20 06:57:38.324585,0.0
order-004b6c45,order-004b6c45,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:04.660664,2025-09-20 06:56:04.660664,0.0
order-00538620,order-00538620,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:30.201128,2025-09-20 06:56:30.201128,0.0
order-005b4703,order-005b4703,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:56.455350,2025-09-20 06:58:56.455350,0.0
