aggregate_id,event_type,processed_at
order-00000f87,ORDER_CREATED,2025-09-18 11:49:10.791283
order-00001991,ORDER_CREATED,2025-09-15 05:26:22.774876
order-00001991,STOCK_UNAVAILABLE,2025-09-15 05:26:22.778786
order-00004c5e,ORDER_CREATED,2025-09-18 12:23:12.948881
order-0001d8ba,ORDER_CREATED,2025-09-15 05:25:44.517561
order-0001d8ba,STOCK_UNAVAILABLE,2025-09-15 05:25:44.520609
order-00053a4e,ORDER_CREATED,2025-09-18 12:20:35.341921
order-0006d585,ORDER_CREATED,2025-09-15 05:22:23.193577
order-0006d585,STOCK_UNAVAILABLE,2025-09-15 05:22:23.202558
order-0006db43,ORDER_CREATED,2025-09-18 12:23:44.214080
order-000710c3,ORDER_CREATED,2025-09-15 05:25:53.131220
order-000710c3,STOCK_UNAVAILABLE,2025-09-15 05:25:53.133705
order-000767c2,ORDER_CREATED,2025-09-18 12:19:21.676621
order-0008101e,ORDER_CREATED,2025-09-15 05:25:58.457751
order-0008101e,STOCK_UNAVAILABLE,2025-09-15 05:25:58.461952
order-000a909c,ORDER_CREATED,2025-09-18 12:23:55.099277
order-0011ef34,ORDER_CREATED,2025-09-18 11:52:12.609930
order-0014579a,ORDER_CREATED,2025-09-18 11:52:22.131540
order-00151f79,ORDER_CREATED,2025-09-18 12:22:08.880575
order-0017e6ce,ORDER_CREATED,2025-09-15 05:25:37.402847
order-0017e6ce,STOCK_UNAVAILABLE,2025-09-15 05:25:37.406084
order-001ab2c6,ORDER_CREATED,2025-09-18 12:21:53.511212
order-001b61ca,ORDER_CREATED,2025-09-18 12:21:29.076151
order-001b76a3,ORDER_CREATED,2025-09-18 12:20:55.212401
order-001cea13,ORDER_CREATED,2025-09-18 11:51:55.999149
order-001fe891,ORDER_CREATED,2025-09-15 05:25:18.252390
order-001fe891,STOCK_UNAVAILABLE,2025-09-15 05:25:18.255131
order-00201588,ORDER_CREATED,2025-09-15 05:26:13.240662
