saga_id,order_id,step_number,step_name,command_type,status,started_at,completed_at,duration_ms
order-00e70855,order-00e70855,1,OrderCreated,forward,completed,2025-09-15 10:07:57,2025-09-15 10:07:57,0.0
order-024a8b13,order-024a8b13,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-032df991,order-032df991,1,OrderCreated,forward,completed,2025-09-15 10:08:03,2025-09-15 10:08:03,0.0
order-03ec0740,order-03ec0740,1,OrderCreated,forward,completed,2025-09-15 10:08:00,2025-09-15 10:08:00,0.0
order-065e2151,order-065e2151,1,OrderCreated,forward,completed,2025-09-15 10:08:02,2025-09-15 10:08:02,0.0
order-075d9b93,order-075d9b93,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-080ce6b3,order-080ce6b3,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-09dede38,order-09dede38,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-0a02a10a,order-0a02a10a,1,OrderCreated,forward,completed,2025-09-15 10:07:55,2025-09-15 10:07:55,0.0
order-0b4062a8,order-0b4062a8,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-0cc4398f,order-0cc4398f,1,OrderCreated,forward,completed,2025-09-15 10:08:00,2025-09-15 10:08:00,0.0
order-0e6b9c18,order-0e6b9c18,1,OrderCreated,forward,completed,2025-09-15 10:07:59,2025-09-15 10:07:59,0.0
order-0f739c80,order-0f739c80,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-13a87346,order-13a87346,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-149b8a85,order-149b8a85,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-1603811d,order-1603811d,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-16ad65be,order-16ad65be,1,OrderCreated,forward,completed,2025-09-15 10:07:59,2025-09-15 10:07:59,0.0
order-19df75af,order-19df75af,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-19ea47d2,order-19ea47d2,1,OrderCreated,forward,completed,2025-09-15 10:08:02,2025-09-15 10:08:02,0.0
order-1a6190e2,order-1a6190e2,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-1bf3aef1,order-1bf3aef1,1,OrderCreated,forward,completed,2025-09-15 10:08:00,2025-09-15 10:08:00,0.0
order-1c88298c,order-1c88298c,1,OrderCreated,forward,completed,2025-09-15 10:07:38,2025-09-15 10:07:38,0.0
order-1cc6b537,order-1cc6b537,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-1d95a459,order-1d95a459,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-1eafd8d6,order-1eafd8d6,1,OrderCreated,forward,completed,2025-09-15 10:08:04,2025-09-15 10:08:04,0.0
order-202354ab,order-202354ab,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
