pattern,scenario,order_id,request_id,status_code,response_time,timestamp,result,load_phase
choreography,load_success,order-37eaab43aaaa46f890e5919a15c8df3a,c9e58981,200,0.13851618766784668,2025-09-15T07:45:15.380465,"{'order_id': 'order-37eaab43aaaa46f890e5919a15c8df3a', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_payment_failure,order-1a9296e045e242c1a1cd68ffa252a275,af1423b8,200,0.006245851516723633,2025-09-15T07:45:17.407461,"{'order_id': 'order-1a9296e045e242c1a1cd68ffa252a275', 'status': 'created', 'total_amount': 7000.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-39a08db9b5ac441baa8d37b5928b9388,02ce2abb,200,0.004864931106567383,2025-09-15T07:45:19.175032,"{'order_id': 'order-39a08db9b5ac441baa8d37b5928b9388', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-1be594f830a24e34a0e0fe92e243dae0,c5eb1278,200,0.0062749385833740234,2025-09-15T07:45:21.134429,"{'order_id': 'order-1be594f830a24e34a0e0fe92e243dae0', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-187680bc343c4608b09cbc99ac9f3a88,0f747e49,200,0.008939981460571289,2025-09-15T07:45:22.758156,"{'order_id': 'order-187680bc343c4608b09cbc99ac9f3a88', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-51bdde04907d4e75919c94aa838698d3,dc66ac82,200,0.014274835586547852,2025-09-15T07:45:24.357930,"{'order_id': 'order-51bdde04907d4e75919c94aa838698d3', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-4595edc648a540fe807d50f7b061c020,859d163d,200,0.007855892181396484,2025-09-15T07:45:26.130343,"{'order_id': 'order-4595edc648a540fe807d50f7b061c020', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-7ced6afd6d3a4a8bba8b9540ac7059b0,b3e91efe,200,0.008648872375488281,2025-09-15T07:45:27.893312,"{'order_id': 'order-7ced6afd6d3a4a8bba8b9540ac7059b0', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-de2b1e8d313344a88678c929d839c25b,14f7bb13,200,0.005900859832763672,2025-09-15T07:45:29.764658,"{'order_id': 'order-de2b1e8d313344a88678c929d839c25b', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-a14b887e35f847a48c91ab22550b2649,55bb6787,200,0.018010854721069336,2025-09-15T07:45:32.004220,"{'order_id': 'order-a14b887e35f847a48c91ab22550b2649', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-7458384b976b460cb5091115d109ccfe,276b7110,200,0.015900373458862305,2025-09-15T07:45:34.474866,"{'order_id': 'order-7458384b976b460cb5091115d109ccfe', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-4adece63a5294b00967096d845178550,60fbed21,200,0.006167888641357422,2025-09-15T07:45:36.000494,"{'order_id': 'order-4adece63a5294b00967096d845178550', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-c763a9f824cb44609fadff91039d1b41,9b2e5e51,200,0.014034032821655273,2025-09-15T07:45:37.815199,"{'order_id': 'order-c763a9f824cb44609fadff91039d1b41', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-79c502e12f4b472d87b8a4f1c87c20e9,70cb88e1,200,0.005857944488525391,2025-09-15T07:45:39.782617,"{'order_id': 'order-79c502e12f4b472d87b8a4f1c87c20e9', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-796a7c6304cd413dbd5ae9acfa9e663d,f8d68aa0,200,0.003738880157470703,2025-09-15T07:45:41.714933,"{'order_id': 'order-796a7c6304cd413dbd5ae9acfa9e663d', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-80d869e25bad490282468092e9087121,ed2c4c6a,200,0.005235910415649414,2025-09-15T07:45:43.960210,"{'order_id': 'order-80d869e25bad490282468092e9087121', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-21271ded26de4f5f83bed04845eeaeaa,e447eaea,200,0.0064771175384521484,2025-09-15T07:45:45.935750,"{'order_id': 'order-21271ded26de4f5f83bed04845eeaeaa', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-80779749cefb415290a885efcbe9b2ba,4fff47cf,200,0.004804849624633789,2025-09-15T07:45:47.619371,"{'order_id': 'order-80779749cefb415290a885efcbe9b2ba', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-a853d9b21dc34dbf947493d628e23f59,763f2e97,200,0.004116058349609375,2025-09-15T07:45:50.099423,"{'order_id': 'order-a853d9b21dc34dbf947493d628e23f59', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_stock_failure,order-3b0923072d714100a13c5e544ca3f18e,7fe005e9,200,0.0070629119873046875,2025-09-15T07:45:52.080330,"{'order_id': 'order-3b0923072d714100a13c5e544ca3f18e', 'status': 'created', 'total_amount': 34996500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-d6926902154347808dcfec74852f455c,6a655e9e,200,0.012595891952514648,2025-09-15T07:45:54.265979,"{'order_id': 'order-d6926902154347808dcfec74852f455c', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-5983964d23fb427c80f8fcd0ffa3abe8,b998f203,200,0.008412837982177734,2025-09-15T07:45:55.986031,"{'order_id': 'order-5983964d23fb427c80f8fcd0ffa3abe8', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-8517fce4b28246fda13a730df04dd898,ef2b4651,200,0.005182027816772461,2025-09-15T07:45:58.246570,"{'order_id': 'order-8517fce4b28246fda13a730df04dd898', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-386114d5fe684215a47b97c8a6607d1b,56e32c38,200,0.006026029586791992,2025-09-15T07:46:00.731004,"{'order_id': 'order-386114d5fe684215a47b97c8a6607d1b', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-69654e5c70e2447385b189415949a8b4,67162c0a,200,0.006947040557861328,2025-09-15T07:46:02.371579,"{'order_id': 'order-69654e5c70e2447385b189415949a8b4', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-438cdca9ef1a4fdba3944df59337e19b,ec7a6dd5,200,0.016154050827026367,2025-09-15T07:46:04.533062,"{'order_id': 'order-438cdca9ef1a4fdba3944df59337e19b', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-d85655ec310744c7870c814210c5f3e0,9ea16c65,200,0.00933694839477539,2025-09-15T07:46:06.640816,"{'order_id': 'order-d85655ec310744c7870c814210c5f3e0', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-05eacf99a0b64b42b765d37a4c207c2f,18a41951,200,0.015839338302612305,2025-09-15T07:46:08.888592,"{'order_id': 'order-05eacf99a0b64b42b765d37a4c207c2f', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-75703a9357ab4e3582bbaef870e7e7be,e865866e,200,0.04190993309020996,2025-09-15T07:46:10.540464,"{'order_id': 'order-75703a9357ab4e3582bbaef870e7e7be', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-4ccfe7be3bbc4f41b4751f4f129760ad,66dbad44,200,0.007021665573120117,2025-09-15T07:46:12.928342,"{'order_id': 'order-4ccfe7be3bbc4f41b4751f4f129760ad', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-7680797723104daa8f8aa60f11d411d5,62a19ea0,200,0.03950166702270508,2025-09-15T07:46:14.856364,"{'order_id': 'order-7680797723104daa8f8aa60f11d411d5', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-3f7b72ded09e4a8f9dd278f8ff57cf96,32f9fee1,200,0.01042795181274414,2025-09-15T07:46:17.257422,"{'order_id': 'order-3f7b72ded09e4a8f9dd278f8ff57cf96', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-37e94f3174684898af4108ca95ec4c68,58b93a05,200,0.005844831466674805,2025-09-15T07:46:19.191890,"{'order_id': 'order-37e94f3174684898af4108ca95ec4c68', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_stock_failure,order-1c1729faf597498ebfc82e804f38da41,81d3fbdf,200,0.005236148834228516,2025-09-15T07:46:21.194227,"{'order_id': 'order-1c1729faf597498ebfc82e804f38da41', 'status': 'created', 'total_amount': 34996500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-b1c11552be874037ba2abe16721c440f,c8139093,200,0.007502079010009766,2025-09-15T07:46:22.851016,"{'order_id': 'order-b1c11552be874037ba2abe16721c440f', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-9651bc80013a4d88981307a91018795d,3442684e,200,0.0059359073638916016,2025-09-15T07:46:25.083755,"{'order_id': 'order-9651bc80013a4d88981307a91018795d', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-a91142b6b04c4416b0f36d9a5a020716,eb047a1e,200,0.010298013687133789,2025-09-15T07:46:27.252527,"{'order_id': 'order-a91142b6b04c4416b0f36d9a5a020716', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-f6ac276189154f08981047941594d974,096eedf9,200,0.008946895599365234,2025-09-15T07:46:29.443792,"{'order_id': 'order-f6ac276189154f08981047941594d974', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-7c3b8ec63f0847009fa2c47d0e7d82a4,e4368888,200,0.00634312629699707,2025-09-15T07:46:31.715369,"{'order_id': 'order-7c3b8ec63f0847009fa2c47d0e7d82a4', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-bc976f8168be4918a36caaccb8075674,1a01212b,200,0.007692098617553711,2025-09-15T07:46:33.949382,"{'order_id': 'order-bc976f8168be4918a36caaccb8075674', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-915820b7c0164bd0b4ea00e213360b8a,0934e21e,200,0.00550389289855957,2025-09-15T07:46:36.083458,"{'order_id': 'order-915820b7c0164bd0b4ea00e213360b8a', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-a69f12fd704a4982af5813e7cf32ec0b,b49d7043,200,0.02045416831970215,2025-09-15T07:46:37.626902,"{'order_id': 'order-a69f12fd704a4982af5813e7cf32ec0b', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_payment_failure,order-943e3bc2245649d081f2ab18c9a3913e,9b17f586,200,0.008786916732788086,2025-09-15T07:46:40.055464,"{'order_id': 'order-943e3bc2245649d081f2ab18c9a3913e', 'status': 'created', 'total_amount': 7000.0, 'message': 'Order created successfully'}",light
choreography,load_stock_failure,order-cb0271edbb41438f94c425c6dfbadd34,eca61816,200,0.005988121032714844,2025-09-15T07:46:42.019796,"{'order_id': 'order-cb0271edbb41438f94c425c6dfbadd34', 'status': 'created', 'total_amount': 34996500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-81964e029e884757a22291a9488ecf65,668f7955,200,0.0054781436920166016,2025-09-15T07:46:43.743232,"{'order_id': 'order-81964e029e884757a22291a9488ecf65', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
orchestration,load_stock_failure,order-fb460f703eb24fa68240c8d0b734e4e0,6e9fb000,200,0.2875509262084961,2025-09-15T07:45:15.529939,"{'saga_id': 'saga-35b67310007b4940a007b368f9076bc0', 'order_id': 'order-fb460f703eb24fa68240c8d0b734e4e0', 'status': 'started', 'message': 'Saga started successfully'}",light
